English,Hindi,HinEnglish,Marathi,MarathiEnglish,Tamil,TamilEnglish,Japanese,Romanization
I went to the market to buy some fresh vegetables and fruits.,मैं ताजा सब्जियाँ और फल खरीदने बाजार गया।,Main taaza sabziyaan aur phal khareedne bazaar gaya.,मी ताज्या भाज्या आणि फळे विकत घेण्यासाठी बाजारात गेलो.,Mee taajya bhaajya ani phale vikat ghanyasathi bazaarat gelo.,தाजா காய்கறிகள் மற்றும் பழங்களை வாங்குவதற்காக சந்தைக்கு சென்றேன்.,Thaaja kaaykariangal mattum pazhangalai vaanguvatharkaaga santhaikku sendren.,新鮮な野菜と果物を買うために市場に行きました。,Shinsen na yasai to kudamono o kau tame ni ichiba ni ikimashita.
She is reading a very interesting book these days.,ये दिनों वह एक बहुत रोचक किताब पढ़ रही है।,Ye dino woh ek bahut rochak kitaab padh rahi hai.,ती या दिवसी एक खूपच रोचक पुस्तक वाचत आहे।,Tee ya divasi ek khoopach rochak pustak vaachat ahe.,இந்த நாட்களில் அவள் ஒரு மிகவும் சுவாரஸ்யமான புத்தகத்தை படித்துக் கொண்டிருக்கிறாள்.,Indha naatkalin aval oru mikavum suvaarasyaana puththagathai padiththuk kondirukkiraal.,彼女は最近とても面白い本を読んでいます。,Kanojo wa saikin totemo omoshiroi hon o yonde imasu.
We are planning to visit our grandparents this weekend.,हम इस वीकेंड अपने दादा-दादी से मिलने की योजना बना रहे हैं।,Hum is weekend apne dada-dadi se milne ki yojana bana rahe hain.,आम्ही या शनिवार-रविवारी आमच्या आजोबा-आजीला भेटण्याची योजना आखत आहोत।,Aamhi ya shanivaar-ravivaari aamchya aajoba-aajila bhetanyaachi yojana aakhat aahot.,நாங்கள் இந்த வார இறுதியில் எங்கள் பாட்டி பாட்டாவை சந்திக்க திட்டமிட்டுள்ளோம்.,Naangal indha vaara iruthiyil engal paatti paattaavai santhikka thittamittullaam.,今週末、祖父母を訪ねる予定です。,Konshuumatsu, sofubo o tazuneru yotei desu.
They have decided to start a new business venture together.,उन्होंने मिलकर एक नया व्यवसाय शुरू करने का फैसला किया है।,Unhone milkar ek naya vyavasaay shuru karne ka faisla kiya hai.,ते मिळून एक नवीन व्यवसाय सुरू करण्याचा निर्णय घेतला आहे।,Te miloon ek naveen vyavasaay suru karanyaacha nirnay ghetla ahe.,அவர்கள் ஒன்றாக ஒரு புதிய வணிக முயற்சியை தொடங்குவதென முடிவு செய்துள்ளனர்.,Avargal orrupaaga oru puthiya vaniga muyarchiyai thodanguvathena mudivu seithullaar.,彼らは一緒に新しいビジネスを始めることにしました。,Karera issho ni atarashii bijinesu o hajimeru koto ni shimashita.
The children are playing in the park and enjoying the sunny weather.,बच्चे पार्क में खेल रहे हैं और धूप का आनंद ले रहे हैं।,Bacche park mein khel rahe hain aur dhoop ka anand le rahe hain.,मुले उद्यानात खेळत आहेत आणि उजेडाचा आनंद घेत आहेत।,Mule udyaanat khelt aahot ani ujedacha anand ghet aahot.,குழந்தைகள் பூங்காவில் விளையாடி கொண்டு சூரிய வானிலையை அனுபவித்துக் கொண்டிருக்கிறார்கள்.,Kuzhandhaigal poongaa vil vilaiyaadi kondru sooriya vaanilai anubaviththuk kondirukkiraar.,子供たちは公園で遊んでいて、晴れた天気を楽しんでいます。,Kodomotachi wa kouen de asonde ite, hareta tenki o tanoshinde imasu.
He is working hard to complete his project on time.,वह अपने प्रोजेक्ट को समय पर पूरा करने के लिए कड़ी मेहनत कर रहा है।,Woh apne project ko samay par poora karne ke liye kadi mehnat kar raha hai.,तो त्याचा प्रकल्प वेळेत पूर्ण करण्यासाठी कठोर परिश्रम करत आहे।,To tyacha prakalp velit poorn karanyasathi kathor parishram karat ahe.,அவர் தன்னுடைய திட்டத்தை தேர்ந்த நேரத்தில் முடிக்க கடுமையாக உழைக்கிறார்.,Avar thannudaiya thittai theerntha nerathil mudikka kadumaaga uzhaikkirar.,彼はプロジェクトを時間通りに完成させるために一生懸命働いています。,Kare wa purojekuto o jikan doori ni kansei saseru tame ni isshoukenmei hataraite imasu.
She loves to cook delicious meals for her family.,वह अपने परिवार के लिए स्वादिष्ट भोजन पकाना पसंद करती है।,Woh apne parivaar ke liye swaadisht bhojan pakana pasand karti hai.,ती तिच्या कुटुंबासाठी छान जेवण बनवणे आवडते।,Tee tichya kutumbasathi chaan jevan banavne aavdte.,அவர் தனது குடும்பத்திற்காக ருசியான உணவுகளை சமைக்க விரும்புகிறார்.,Avar thanatha kutumpathirkaaga rusiyaana unavugalai samaikk virumpukirar.,彼女は家族のために美味しい料理を作るのが大好きです。,Kanojo wa kazoku no tame ni oishii ryouri o tsukuru no ga daisuki desu.
We enjoyed a wonderful vacation at the beach last summer.,पिछले गर्मियों में हमने समुद्र तट पर एक अद्भुत छुट्टी का आनंद लिया।,Pichle garmiyon mein humne samudra tat par ek adbhut chhutti ka anand liya.,गेल्या उन्हाळ्यात आम्ही समुद्रकिनारी एक अद्भुत सुट्टीचा आनंद लुटला।,Gelya unhaalyat aamhi samudrakinari ek adbhut sutteecha anand lutla.,கடந்த கோடையில் நாங்கள் கடற்கரையில் ஒரு அற்புதமான விடுமுறையை அனுபவித்தோம்.,Kadandha kodaiyil naangal kadarkaraiyil oru arputamaana vidumuraiyai anubavithom.,私たちは去年の夏、ビーチで素晴らしい休暇を楽しみました。,Watashitachi wa kyonen no natsu, biichi de subarashii kyuuka o tanoshimimashita.
They are looking forward to the upcoming festival.,वे आगामी उत्सव का बेसब्री से इंतजार कर रहे हैं।,We aagami utsav ka besabri se intzaar kar rahe hain.,ते आगामी सणाची आतुरतेने वाट पाहत आहेत।,Te aagami sanaachi aaturtene vaat paahat aahot.,அவர்கள் வரவிருக்கும் திருவிழாவை ஆவலுடன் எதிர்பார்த்துக் கொண்டிருக்கிறார்கள்.,Avargal varavirukkum thiruvizhaavai aavaludan ethirpaarthuk kondirukkiraar.,彼らは今後の祭りを楽しみにしています。,Karera kongo no matsuri o tanoshimi ni shite imasu.
The teacher explained the lesson clearly to the students.,शिक्षक ने छात्रों को पाठ स्पष्ट रूप से समझाया।,Shikshak ne chhatron ko paath spashht roop se samjhaya.,शिक्षकाने विद्यार्थ्यांना धडा स्पष्टपणे समजावला।,Shikshakane vidyaarthyaanna dhada spashhtapane samajaavla.,ஆசிரியர் மாணவர்களுக்கு பாடத்தை தெளிவாக விளக்கினார்.,Aasiriyar maanavarkalukku paadathai thelivaga vilakkinar.,先生は生徒たちにレッスンをはっきりと説明しました。,Sensei wa seito-tachi ni ressun o hakkiri to setsumei shimashita.
